Korean Onomatopoeia,English Translation
꽥꽥,Quack quack
꽥, Quack
짹짹,Tweet tweet
짹,Tweet
쨍그랑,Crash
쿵,Thump
또각또각,Clip-clop
찰칵,Click
덜컹,Clunk
찌릿찌릿,Zing
탁탁,Tap tap
뽀드득,Creak
따르릉,Ring-ring
삐걱,Squeak
쿠우쿠우,Hoot
싱긋, Grinning
딸랑딸랑,Jingling
쩝쩝,Smacking
뽀글뽀글,Bubble
빠글빠글,Fizz
우르르,Rumble
딩동,Ding dong
우당탕,Bang
지글지글,Sizzle
삐그덕,Creak
짠짠,Zap
짭짤,Squish
쩍쩍,Crackle
쿵쿵,Thud thud
삐죽삐죽,Jagged
쨍쨍,Glaring
씽씽,Whiz
후다닥,Rustle
윙윙,Buzzing
쨍하고,Clash
꾸벅꾸벅,Nodding
또르르,Rolling
쾅쾅,Boom boom
투둑투둑,Plop plop
삐용삐용,Whirring
치직치직,Static
쿵짝쿵짝,Thump thump
펄럭펄럭,Flapping
타닥타닥,Crackling
촉촉,Moist
빠악,Snap
부들부들,Shivering
펑펑,Boom boom
깔깔,Cackle
따끔따끔,Tingling
삐뚤삐뚤,Zigzag
칙칙,Chirp chirp
철컥철컥,Clang clang
후루룩,Slurp
개굴개굴,Ribbit ribbit
구구,Coo coo
귀뚤귀뚤,Chirp chirp
그르렁,Gargle
까옥까옥,Caw caw
깍깍,Caw caw
깔깔,Cackle
껄껄,Guffaw
꽝,Clang
꽥,Squawk
꾀꼴꾀꼴,Chirp chirp
꼴깍,Glug
꿀꺽꿀꺽,Gulp gulp
끌끌,Tsk tsk
끙끙,Groan
끼룩끼룩,Honk honk
끼익,Screech
낑낑,Groan
냠냠,Yum yum
늴리리,Tootle
달그락,Clatter
달랑,Jingle
달캉달캉,Clank
덜거덕,Clunk
덜렁덜렁,Jangle
덩더꿍,Bang bang
데구루루,Roll
도란도란,Murmur
둥개둥개,Lullaby sounds
드르렁드르렁,Snore
드르륵,Slide
딩동댕,Ding dong
따르릉,Ring
땡,Ding
똑,Tick
똑딱,Click
뚜벅뚜벅,Trudge
뚝,Snap
뚝딱뚝딱,Tap tap
맴맴,Buzz
멍멍,Woof woof
바삭바삭,Crunch
박박,Scrub
보글보글,Bubble
부르릉,Vroom
부스럭부스럭,Rustle
북북,Scratch
빵,Boom
빵빵,Honk honk
삐악삐악,Peep peep
삐걱삐걱,Creak
뻐꾹뻐꾹,Cuckoo
사각사각,Crunch
사박사박,Crunch
삭둑삭둑,Snip snip
색색,Wheeze
설컹설컹,Chomp
소곤소곤,Whisper
소쩍소쩍,Hoot
속닥속닥,Whisper
속살속살,Gossip
싹,Swipe
싹둑싹둑,Snip snip
쌔근쌔근,Gentle snoring
쌩,Swoosh
쏴,Swish
쓱싹,Scrape
씩씩,Puff
